Name,Location,Province,Reviews,Rating(out of 5),URL
N G Residence,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d14161084-Reviews-N_G_Residence-Kigali_Kigali_Province.html
Karibu Peace Center,Huye,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g3588281-d12978453-Reviews-Karibu_Peace_Center-Huye_Southern_Province.html
Kigali Homestay,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19789247-Reviews-Kigali_Homestay-Kigali_Kigali_Province.html
Logement Ikaze,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17546044-Reviews-Logement_Ikaze-Kigali_Kigali_Province.html
Hotel Baoba 2,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17453482-Reviews-Hotel_Baoba_2-Kigali_Kigali_Province.html
Motel Ikambere,Rwamagana,Eastern Province,,,https://www.tripadvisor.com/Hotel_Review-g8593225-d9974091-Reviews-Motel_Ikambere-Rwamagana_Eastern_Province.html
Local Garden Inn,Rubavu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g12620107-d14947718-Reviews-Local_Garden_Inn-Rubavu_Western_Province.html
Coco's Home,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23366906-Reviews-Coco_s_Home-Kigali_Kigali_Province.html
Munini Hill Hotel,Cyangugu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g2053545-d8387720-Reviews-Munini_Hill_Hotel-Cyangugu_Western_Province.html
Bamboo Inn,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d23172222-Reviews-Bamboo_Inn-Ruhengeri_Musanze_District_Northern_Province.html
Mulberry Guest House,Kibuye,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g673815-d13238814-Reviews-Mulberry_Guest_House-Kibuye_Western_Province.html
Hakuna Matata Suites,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23712217-Reviews-Hakuna_Matata_Suites-Kigali_Kigali_Province.html
La Silene Motel,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d12699585-Reviews-La_Silene_Motel-Ruhengeri_Musanze_District_Northern_Province.html
Gahinga Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d5111634-Reviews-Gahinga_Guest_House-Kigali_Kigali_Province.html
Arundinaria Guest House,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d12810504-Reviews-Arundinaria_Guest_House-Gisenyi_Western_Province.html
Irebero Village,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17630671-Reviews-Irebero_Village-Kigali_Kigali_Province.html
Deluxe Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15559582-Reviews-Deluxe_Hotel-Kigali_Kigali_Province.html
Gisozi Manor,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19690915-Reviews-Gisozi_Manor-Kigali_Kigali_Province.html
Paradisia,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13866973-Reviews-Paradisia-Kigali_Kigali_Province.html
Eden Palace Hotel,Kigoma,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g13124779-d12821632-Reviews-Eden_Palace_Hotel-Kigoma_Southern_Province.html
Madiba Guest House,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d19807718-Reviews-Madiba_Guest_House-Kigali_Kigali_Province.html
Amacumbi Steclem,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d14981618-Reviews-Amacumbi_Steclem-Kigali_Kigali_Province.html
Rwandastay Gashushu,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d12244041-Reviews-Rwandastay_Gashushu-Kigali_Kigali_Province.html
Kigali Castle,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19978867-Reviews-Kigali_Castle-Kigali_Kigali_Province.html
Happy Home & Dine,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17710144-Reviews-Happy_Home_Dine-Kigali_Kigali_Province.html
Montana Motel,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d13072412-Reviews-Montana_Motel-Ruhengeri_Musanze_District_Northern_Province.html
Tropical Motel,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d13341532-Reviews-Tropical_Motel-Gisenyi_Western_Province.html
La Pelouse Hotel,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d7612681-Reviews-La_Pelouse_Hotel-Gisenyi_Western_Province.html
Kunda Art Store,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23480906-Reviews-Kunda_Art_Store-Kigali_Kigali_Province.html
Fine Motel Kigali,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17563256-Reviews-Fine_Motel_Kigali-Kigali_Kigali_Province.html
New Hope Lodge,Cyangugu,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g2053545-d12233539-Reviews-New_Hope_Lodge-Cyangugu_Western_Province.html
4G Accomodation Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13511441-Reviews-4G_Accomodation_Guest_House-Kigali_Kigali_Province.html
Blessing Ton,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d17521623-Reviews-Blessing_Ton-Gisenyi_Western_Province.html
Havana Guest House 1,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d15338768-Reviews-Havana_Guest_House_1-Gisenyi_Western_Province.html
